Samples
145,72449
143,10608
135,35156
131,72607
127,093506
117,82837
107,55615
-136,45935
16,71753
7,2509766
2,0141602
1,7120361
-6,8481445
-17,22107
145,72449
143,10608
135,35156
131,72607
127,093506
117,82837
107,55615
-136,45935
-637,9852
-955,8197
-1121,7865
-1185,2325
-1181,3049
-1131,253
-894,4885
-805,46265
-722,37854
-637,5824
-3299,0935
1833,0872
-559,03015
-488,1317
-417,73682
-358,5205
-299,00208
-244,92188
-188,42468
-135,55298
-2,3162842
33,33435
75,22888
107,55615
3275,3264
1773,8708
130,61829
143,50891
173,31848
188,02185
196,98486
202,02026
212,29248
209,9762
221,2555
214,00452
216,42151
212,19177
3275,4272
1767,4255
219,94629
216,62292
216,01868
206,35071
200,71106
190,84167
186,30981
186,30981
191,44592
189,53247
190,33813
192,95654
3249,646
1768,634
187,11548
186,1084
188,12256
194,76929
218,7378
224,07532
231,02417
239,48364
272,31445
272,31445
275,235
283,59375
3275,3264
1749,7009
284,70154
281,5796
281,37817
277,9541
270,09888
260,4309
258,61816
252,27356
193,25867
180,67017
159,11865
152,1698
145,12024
137,56714
137,36572
130,41687
127,093506
125,18005
124,97864
129,00696
128,10059
122,36023
133,3374
139,07776
149,04785
158,81653
174,52698
178,35388
182,08008
198,09265
207,5592
218,23425
229,31213
222,5647
216,2201
218,93921
208,56628
202,02026
196,68274
190,64026
186,00769
177,74963
173,6206
165,46326
154,78821
146,32874
145,01953
133,03528
126,18713
114,505005
104,937744
89,02588
86,709595
84,2926
70,3949
69,28711
68,68286
68,38074
67,07153
69,488525
68,58215
72,30835
68,58215
76,638794
93,0542
101,916504
108,86536
119,33899
124,575806
138,67493
143,71033
148,64502
156,60095
163,65051
165,66467
163,24768
156,19812
161,63635
152,27051
145,9259
137,96997
131,32324
130,61829
116,922
109,06677
104,434204
103,02429
89,730835
78,75366
64,453125
57,10144
47,836304
28,500366
30,413818
36,35559
30,917358
34,744263
34,240723
35,95276
36,657715
47,43347
40,786743
35,650635
43,50586
63,345337
76,7395
83,28552
90,43579
103,930664
121,554565
131,52466
130,61829
132,83386
140,28625
136,25793
140,08484
136,45935
134,6466
129,6112
116,922
119,64111
113,90076
101,51367
101,71509
84,49402
85,29968
84,49402
77,34375
68,17932
55,69153
49,246216
37,261963
27,896118
20,040894
10,473633
11,682129
9,365845
11,380005
6,2438965
15,911865
13,998413
18,22815
18,933105
24,472046
38,772583
51,965332
62,74109
71,60339
71,90552
86,30676
100,20447
103,930664
111,28235
113,39722
114,505005
117,022705
118,533325
110,77881
104,03137
106,34766
89,42871
93,96057
81,170654
77,84729
66,16516
57,907104
57,302856
39,47754
41,39099
32,629395
17,523193
9,970093
2,7191162
-6,5460205
-1,1077881
-7,5531006
-10,775757
-11,883545
-12,991333
5,8410645
-2,2155762
2,5177002
-6,2438965
7,1502686
23,867798
26,586914
36,4563
44,41223
49,44763
60,928345
74,42322
81,06995
85,702515
93,45703
91,8457
96,8811
91,34216
95,773315
88,62305
87,11243
74,82605
76,538086
72,9126
53,878784
51,05896
47,232056
47,232056
40,98816
28,097534
18,429565
8,761597
-0,9063721
-8,258057
-11,279297
-17,321777
-20,544434
-13,595581
-17,120361
-17,422485
-8,560181
-22,055054
-17,22107
-14,099121
-7,4523926
7,0495605
15,408325
34,34143
43,50586
54,483032
66,970825
75,83313
74,2218
91,744995
88,42163
91,8457
92,34924
78,95508
89,52942
83,28552
74,020386
76,135254
69,38782
63,546753
50,656128
51,361084
47,232056
43,807983
37,46338
28,399658
26,889038
13,595581
-0,9063721
-9,164429
-9,970093
-16,314697
-23,968506
-26,687622
-25,680542
-25,881958
-14,703369
-14,401245
-14,501953
-17,019653
-17,422485
1,8127441
16,21399
27,996826
31,622314
38,671875
56,497192
50,958252
63,74817
69,488525
76,84021
82,88269
87,31384
76,94092
64,25171
66,467285
60,424805
55,59082
53,878784
38,974
33,636475
32,025146
33,9386
29,507446
27,392578
22,155762
11,581421
6,6467285
-2,9205322
-26,889038
-17,22107
-29,406738
-29,205322
-33,032227
-31,219482
-25,680542
-30,413818
-28,500366
-26,687622
-26,687622
-18,73169
-6,9488525
6,0424805
20,040894
27,493286
37,161255
50,756836
59,820557
68,58215
68,78357
69,68994
70,59631
69,992065
80,86853
78,75366
66,76941
63,546753
52,06604
45,620728
45,92285
37,060547
22,860718
21,047974
20,443726
11,380005
2,5177002
-12,789917
-19,23523
-19,638062
-20,947266
-26,28479
-32,125854
-34,94568
-43,203735
-36,154175
-38,571167
-39,074707
-39,779663
-43,40515
-38,671875
-22,457886
-10,574341
-5,9417725
2,3162842
21,047974
30,615234
35,247803
44,91577
57,302856
62,942505
65,66162
71,60339
63,74817
62,036133
58,007812
52,06604
54,483032
47,03064
43,00232
36,053467
33,132935
21,047974
9,667969
12,588501
6,1431885
-5,9417725
-13,192749
-22,860718
-25,479126
-36,35559
-43,00232
-36,758423
-30,111694
-46,124268
-45,721436
-46,42639
-40,182495
-41,189575
-38,269043
-36,557007
-32,125854
-9,164429
1,9134521
5,0354004
11,782837
13,092041
23,76709
37,46338
37,564087
40,98816
41,693115
48,843384
50,756836
50,857544
48,54126
50,253296
55,892944
52,670288
48,742676
46,02356
37,664795
32,528687
23,867798
17,019653
13,394165
4,5318604
-0,60424805
-18,832397
-20,947266
-35,95276
-34,643555
-38,571167
-47,735596
-45,01648
-43,00232
-44,51294
-35,44922
-35,046387
-38,168335
-37,765503
-24,874878
-10,977173
2,5177002
14,804077
18,630981
16,818237
33,43506
42,39807
47,131348
60,72693
65,15808
64,85596
64,956665
