Samples
-83,688354
-89,12659
-96,67969
-98,291016
-90,33508
-88,11951
-87,81738
-81,27136
-84,49402
-84,89685
-89,63013
-81,87561
-63,848877
-63,14392
-59,014893
-50,958252
-49,749756
-46,325684
-49,749756
-38,87329
-41,4917
-41,290283
-31,219482
-33,33435
-32,42798
-37,96692
-35,95276
-40,786743
-37,664795
-43,00232
-46,42639
-49,346924
-57,20215
-57,70569
-50,253296
-52,670288
-53,878784
-56,799316
-65,15808
-67,57507
-75,531006
-81,47278
-83,99048
-87,716675
-83,184814
-82,07703
-82,681274
-85,702515
-91,34216
-85,80322
-83,88977
-79,055786
-73,61755
-59,1156
-62,338257
-57,20215
-47,53418
-35,147095
-35,44922
-38,36975
-34,643555
-35,34851
-23,464966
-23,464966
-24,975586
-26,687622
-27,593994
-33,737183
-36,758423
-44,311523
-38,772583
-49,246216
-53,878784
-55,288696
-57,60498
-52,56958
-55,892944
-62,74109
-58,309937
-65,86304
-69,38782
-72,20764
-73,41614
-77,34375
-75,531006
-76,23596
-77,041626
-77,84729
-71,502686
-74,62463
-79,055786
-68,68286
-60,827637
-59,921265
-49,850464
-48,742676
-41,088867
-40,48462
-34,643555
-28,903198
-21,853638
-21,75293
-19,134521
-18,026733
-15,206909
-15,408325
-20,645142
-24,472046
-27,996826
-25,680542
-31,32019
-30,917358
-41,4917
-36,758423
-33,233643
-39,074707
-44,41223
-51,461792
-55,08728
-57,20215
-69,68994
-59,921265
-69,1864
-68,78357
-66,36658
-67,57507
-67,977905
-71,60339
-72,40906
-72,81189
-73,31543
-71,09985
-48,94409
-48,138428
-42,095947
-40,786743
-37,261963
-31,924438
-28,701782
-18,026733
-12,084961
-13,092041
-10,372925
-3,2226562
-9,667969
-12,185669
-12,890625
-10,977173
-20,040894
-21,350098
-28,601074
-30,81665
-41,693115
-40,786743
-35,147095
-50,152588
-45,620728
-46,02356
-49,749756
-55,490112
-65,15808
-65,460205
-70,69702
-68,984985
-67,77649
-62,338257
-64,75525
-67,37366
-70,19348
-71,20056
-61,6333
-58,10852
-48,03772
-37,261963
-38,571167
-27,79541
-31,219482
-24,069214
-16,616821
-9,466553
-0,30212402
-4,1290283
2,4169922
3,3233643
-7,1502686
-2,7191162
-10,171509
-15,106201
-13,394165
-15,609741
-17,72461
-20,846558
-22,76001
-26,78833
-28,500366
-27,79541
-29,708862
-33,33435
-44,51294
-46,92993
-56,799316
-59,317017
-61,532593
-62,036133
-62,64038
-65,460205
-64,05029
-65,76233
-64,151
-64,75525
-66,970825
-63,345337
-48,742676
-44,311523
-36,758423
-36,85913
-31,622314
-32,125854
-20,645142
-18,127441
-13,796997
-8,660889
-9,869385
-3,3233643
-5,3375244
-1,8127441
-13,394165
-13,494873
-17,523193
-14,300537
-23,26355
-26,889038
-32,025146
-40,182495
-32,730103
-36,758423
-39,37683
-39,678955
-43,40515
-49,54834
-47,634888
-46,42639
-54,18091
-48,54126
-54,0802
-48,54126
-49,0448
-57,60498
-57,70569
-51,461792
-46,224976
-51,461792
-38,974
-33,132935
-33,032227
-27,29187
-22,457886
-17,926025
-14,804077
-3,3233643
0
3,1219482
5,9417725
9,164429
2,7191162
1,1077881
1,2084961
-0,40283203
-11,984253
-13,192749
-15,206909
-17,825317
-17,72461
-17,623901
-23,464966
-22,457886
-29,507446
-27,392578
-37,765503
-41,89453
-45,01648
-46,02356
-47,332764
-51,159668
-49,346924
-53,375244
-57,000732
-59,21631
-56,295776
-52,468872
-52,267456
-46,42639
-45,721436
-32,730103
-26,687622
-22,558594
-14,401245
-10,775757
-3,7261963
-5,5389404
0,9063721
5,3375244
-4,3304443
1,1077881
1,3092041
-1,9134521
1,5106201
-3,5247803
-4,3304443
-4,6325684
-14,300537
-18,630981
-15,811157
-20,443726
-10,171509
-17,623901
-21,350098
-24,673462
-30,917358
-37,96692
-35,44922
-48,239136
-48,239136
-48,641968
-56,295776
-54,885864
-51,260376
-49,246216
-42,095947
-55,892944
-48,54126
-46,02356
-31,018066
-20,443726
-22,055054
