4,0283203
9,466553
5,1361084
6,4453125
9,466553
11,682129
15,005493
23,666382
25,378418
32,629395
36,053467
29,003906
29,406738
19,839478
17,22107
20,846558
21,652222
20,544434
18,530273
20,645142
25,881958
28,198242
19,436646
17,120361
18,026733
11,682129
13,192749
17,019653
31,32019
16,616821
22,961426
21,853638
16,616821
18,73169
11,782837
8,761597
8,157349
19,839478
18,429565
18,73169
18,328857
19,033813
12,487793
10,775757
14,099121
20,24231
10,473633
19,638062
14,804077
19,033813
31,118774
20,443726
19,033813
30,81665
26,889038
28,500366
32,42798
34,140015
32,629395
32,528687
23,364258
18,832397
18,429565
23,26355
17,22107
15,509033
16,415405
13,192749
13,897705
6,9488525
4,8339844
2,0141602
0,30212402
9,768677
7,8552246
8,157349
13,595581
15,811157
4,1290283
8,862305
11,480713
14,904785
10,372925
16,516113
11,782837
17,825317
17,623901
16,314697
18,832397
12,991333
6,5460205
5,9417725
6,8481445
4,0283203
10,272217
17,523193
22,055054
28,29895
23,062134
22,558594
16,918945
24,874878
19,436646
18,429565
19,436646
25,78125
20,645142
29,003906
18,026733
15,509033
29,708862
12,084961
15,307617
11,782837
14,501953
11,178589
13,796997
12,890625
14,501953
14,199829
11,984253
4,3304443
2,6184082
-1,5106201
-2,5177002
1,2084961
7,5531006
3,8269043
4,6325684
12,185669
10,675049
8,459473
12,084961
10,473633
11,782837
-1,4099121
-1,8127441
0
9,970093
15,911865
25,479126
21,24939
22,961426
18,22815
5,7403564
21,853638
30,413818
16,516113
10,272217
19,436646
17,120361
20,040894
10,977173
13,494873
6,9488525
13,092041
11,380005
5,9417725
8,761597
2,2155762
3,0212402
-0,10070801
9,365845
9,768677
8,862305
7,3516846
15,509033
25,177002
25,680542
21,853638
23,062134
12,689209
10,977173
10,171509
5,0354004
10,372925
20,040894
9,869385
11,380005
11,077881
11,984253
29,608154
18,328857
14,904785
14,300537
13,192749
9,164429
7,1502686
9,365845
14,804077
15,206909
17,926025
13,293457
2,9205322
6,1431885
15,911865
15,206909
9,164429
6,5460205
8,157349
5,1361084
-1,8127441
0,50354004
5,0354004
7,5531006
5,5389404
11,782837
14,401245
10,171509
2,9205322
3,6254883
8,157349
1,3092041
0
2,9205322
-2,9205322
0,50354004
5,2368164
13,696289
11,480713
14,199829
15,106201
11,984253
8,560181
11,782837
7,3516846
13,494873
10,272217
12,789917
10,171509
15,206909
8,358765
9,768677
0,20141602
-3,3233643
-0,50354004
-0,50354004
-1,3092041
2,7191162
-1,7120361
5,7403564
2,6184082
6,5460205
8,761597
10,070801
7,9559326
6,9488525
7,5531006
5,6396484
5,5389404
10,070801
13,092041
7,1502686
5,5389404
4,7332764
4,9346924
8,157349
0,80566406
-2,7191162
-6,5460205
-5,9417725
2,0141602
